Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Admission_grade_sqrt,Curricular_units_1st_sem_grade_reflect_log,Curricular_units_2nd_sem_grade_reflect_log,Curricular_units_1st_sem_category,Curricular_units_2nd_sem_category
1,17,5,171,1,1,-0.8048412577874374,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,0.05069339194385043,2.036446916444918,1.8295193665134917,1,1
1,15,1,9254,1,1,2.0768193183416446,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,1.0785208576484617,-0.8150928023269663,-0.7095858159709496,3,3
1,1,5,9070,1,1,-0.8048412577874374,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,-0.12412375082239985,2.036446916444918,1.8295193665134917,1,1
1,17,2,9773,1,1,-0.8048412577874374,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,-0.49344340094517236,-0.5979202278583589,-0.2977861803186012,3,2
2,39,1,8014,0,1,-2.473171065020064,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,1.0126388847290317,-0.23077976049762666,-0.482922357105654,2,2
2,39,1,9991,0,19,0.03690696313447821,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,-0.8415484280388859,-0.08752386947217515,-0.04727767276564925,2,2
1,1,1,9500,1,1,0.7118222033331321,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,0.12706877808164968,-0.5517148644173405,-0.9681574777049153,3,3
1,18,4,9254,1,1,-1.0323407769555228,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,-0.9665757338262966,2.036446916444918,1.8295193665134917,1,1
1,1,3,9238,1,1,0.33265633805298966,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,0.18931472176240613,-0.7658338834271256,-0.8877497175455364,3,3
1,1,1,9238,1,1,0.40848951110901816,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,-0.2510787513755593,0.04221190126483707,-0.6506065993013443,1,3
